,RK,Name,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF,Team
176,154,Charles Willekes,LB,1,6,7,0.0,0,0,0,0,0,0,0,ARST
177,154,Te'Rai Powell,DB,3,4,7,0.0,0,0,0,0,0,0,0,MASS
178,154,Ken Robinson,S,5,2,7,0.0,0,0,0,0,0,0,0,UTSA
179,154,Malachi Langley,LB,3,4,7,0.0,0,0,0,0,0,0,0,FRES
180,154,Matt Jones,LB,2,5,7,0.0,0,0,0,0,0,0,0,BAY
181,154,Alex Howard,LB,1,6,7,1.0,5,0,0,0,0,0,0,DUKE
182,154,Mac Harris,LB,3,4,7,0.0,2,0,0,0,0,0,0,USF
183,154,Miles Capers,EDGE,4,3,7,0.5,4,0,0,0,0,0,0,VAN
184,154,Dylan Hazen,LB,2,5,7,0.0,0,0,0,0,0,0,0,WAKE
185,154,Eric Gentry,LB,5,2,7,0.0,0,1,0,0,0,0,0,USC
186,154,Mason Cobb,LB,2,5,7,0.0,0,0,1,0,0,0,0,USC
187,154,Anthony Hawkins,DL,1,6,7,2.0,12,0,0,0,0,0,0,BGSU
188,154,Gabriel Taylor,S,4,3,7,0.0,0,0,0,0,0,0,0,RICE
189,154,Bryce Santana,DL,2,5,7,0.0,0,0,0,0,0,0,0,UNM
190,154,Marques Watson-Trent,LB,2,5,7,0.0,0,0,0,0,0,0,0,GASO
191,154,Derek McDonald,LB,5,2,7,0.0,0,0,0,0,0,0,0,SYR
192,154,Evan Slocum,DB,4,3,7,0.0,0,0,0,0,0,0,0,WAKE
193,154,Omar Daniels,DB,7,0,7,0.0,0,1,0,0,0,0,0,GT
194,154,Elijah Rikard,DB,3,4,7,0.0,0,0,0,0,0,0,0,CMU
195,154,Caden Sullivan,LB,2,5,7,0.0,0,0,0,0,0,0,0,APP
196,154,Moses Walker,LB,1,6,7,0.0,0,0,0,0,0,0,0,RUTG
197,154,Azareye'h Thomas,DB,6,1,7,0.0,0,0,0,0,0,0,0,FSU
198,154,Justin Jefferson,DL,2,5,7,2.0,13,0,0,0,0,0,0,EMU
199,154,CJ Brown,S,3,4,7,0.0,0,0,0,0,0,0,0,BGSU
200,154,K.C. Ossai,LB,5,2,7,0.0,0,0,0,0,0,0,0,UL
201,154,Michael Batton,LB,2,5,7,0.0,0,0,0,0,0,0,0,HOU
202,154,Davonte Brown,DB,5,2,7,0.0,0,0,0,0,0,0,0,FSU
203,154,Elijah Robinson,DL,4,3,7,0.5,1,0,0,0,0,0,0,HAW
204,154,Blake Leake,LB,3,4,7,0.0,0,0,0,0,0,0,0,OHIO
205,154,Debo Williams,LB,5,2,7,0.0,0,0,0,0,0,0,0,SC
206,154,Kyler Drake,DL,3,4,7,0.0,0,0,0,0,0,0,0,UNM
207,154,Dorian Royal,DT,2,5,7,0.0,0,1,0,0,0,0,0,GAST
