Position,field_pos,team_name,String Order,Player Number,First Name,Last Name,School year
WR-H,Offense,East Carolina Pirates,1st String,1,Wright,"Jr.,",Winston GR/TR
LT,Offense,East Carolina Pirates,1st String,52,Moorer,Parker,GR/TR
LG,Offense,East Carolina Pirates,1st String,55,Bell,Darius,RS JR/TR
C,Offense,East Carolina Pirates,1st String,65,Hall,Dustyn,GR/TR
RG,Offense,East Carolina Pirates,1st String,74,Ergle,Hampton,RS SR
RT,Offense,East Carolina Pirates,1st String,60,Poku,Emmanuel,RS SO
TE,Offense,East Carolina Pirates,1st String,10,Kelly,Casey,GR/TR
QB,Offense,East Carolina Pirates,1st String,11,Garcia,Jake,RS JR/TR
RB,Offense,East Carolina Pirates,1st String,47,Harris,Rahjai,GR
DE,Defense,East Carolina Pirates,1st String,3,Stephens,Chad,GR
NT,Defense,East Carolina Pirates,1st String,56,Johnson,D'Anta,RS SR
DT,Defense,East Carolina Pirates,1st String,90,Morris,Elijah,SR
RUSH,Defense,East Carolina Pirates,1st String,32,Craig,Ryheem,RS JR/TR
MLB,Defense,East Carolina Pirates,1st String,10,Edwards,"III,",Mike SR/TR
WLB,Defense,East Carolina Pirates,1st String,33,Barker,Zakye,RS SO
FCB,Defense,East Carolina Pirates,1st String,26,Brown-Murray,Isaiah,RS SO
SS,Defense,East Carolina Pirates,1st String,12,Rogers,Omar,GR/TR
FS,Defense,East Carolina Pirates,1st String,2,King,Devon,RS SR/TR
BCB,Defense,East Carolina Pirates,1st String,28,Revel,"Jr.,",Shavon SR/TR
NB,Defense,East Carolina Pirates,1st String,5,Gibson,Gavin,JR/TR
PT,Special Teams,East Carolina Pirates,1st String,1,Larsen,Luke,GR
PK,Special Teams,East Carolina Pirates,1st String,95,Conrad,Andrew,JR
KO,Special Teams,East Carolina Pirates,1st String,95,Conrad,Andrew,JR
LS,Special Teams,East Carolina Pirates,1st String,49,Harper,Alex,GR/TR
H,Special Teams,East Carolina Pirates,1st String,1,Larsen,Luke,GR
PR,Special Teams,East Carolina Pirates,1st String,,,,
KR,Special Teams,East Carolina Pirates,1st String,30,Bond,Javious,SO
Reserves,Special Teams,East Carolina Pirates,1st String,,,,
RES,Special Teams,East Carolina Pirates,1st String,,,,
INJ,Special Teams,East Carolina Pirates,1st String,5,Sowell,Chase,RS SO/TR
WR-X,Offense,East Carolina Pirates,2nd String,7,King,Kerry,RS SR
WR-Z,Offense,East Carolina Pirates,2nd String,15,Smith,Yannick,FR
WR-H,Offense,East Carolina Pirates,2nd String,0,Patterson,Jhari,RS JR/TR
LT,Offense,East Carolina Pirates,2nd String,61,Tarpeh,Jayson,RS JR/TR
LG,Offense,East Carolina Pirates,2nd String,73,Jones,Karson,RS SO/TR
C,Offense,East Carolina Pirates,2nd String,70,Durant,Kameron,RS FR
RG,Offense,East Carolina Pirates,2nd String,67,Archer,Amarie,JR/TR
RT,Offense,East Carolina Pirates,2nd String,62,McCrimon,Jimarion,RS FR
TE,Offense,East Carolina Pirates,2nd String,9,Savage,Tyler,SR
QB,Offense,East Carolina Pirates,2nd String,4,Houser,Katin,RS SO/TR
RB,Offense,East Carolina Pirates,2nd String,34,Montgomery,London,RS FR/TR
DE,Defense,East Carolina Pirates,2nd String,9,Lampley,J.D.,JR
NT,Defense,East Carolina Pirates,2nd String,92,Mims,CJ,RS SO
DT,Defense,East Carolina Pirates,2nd String,53,Ware,Suirad,RS SR
RUSH,Defense,East Carolina Pirates,2nd String,7,Dankah,Samuel,JR
MLB,Defense,East Carolina Pirates,2nd String,23,Wilson,Dameon,RS JR/TR
WLB,Defense,East Carolina Pirates,2nd String,31,Merrell,Kevon,FR
FCB,Defense,East Carolina Pirates,2nd String,11,Wilson-Lamp,Andrew,RS JR/TR
SS,Defense,East Carolina Pirates,2nd String,21,Huff,Jordan,RS SR/TR
FS,Defense,East Carolina Pirates,2nd String,22,Riddle,Ja'Marley,FR
BCB,Defense,East Carolina Pirates,2nd String,6,Nash,Dontavius,RS JR/TR
NB,Defense,East Carolina Pirates,2nd String,,,,
PT,Special Teams,East Carolina Pirates,2nd String,,,,
PK,Special Teams,East Carolina Pirates,2nd String,,,,
KO,Special Teams,East Carolina Pirates,2nd String,1,Larsen,Luke,GR
LS,Special Teams,East Carolina Pirates,2nd String,41,Smith,Tripp,RS FR
H,Special Teams,East Carolina Pirates,2nd String,,,,
PR,Special Teams,East Carolina Pirates,2nd String,,,,
KR,Special Teams,East Carolina Pirates,2nd String,1,Wright,"Jr.,",Winston GR/TR
Reserves,Special Teams,East Carolina Pirates,2nd String,,,,
RES,Special Teams,East Carolina Pirates,2nd String,,,,
INJ,Special Teams,East Carolina Pirates,2nd String,,,,
WR-X,Offense,East Carolina Pirates,3rd String,3,Robinson,Kelan,RS JR/TR
WR-Z,Offense,East Carolina Pirates,3rd String,89,Leverett,Malik,RS FR
WR-H,Offense,East Carolina Pirates,3rd String,81,Waiters,Jyron,FR
LT,Offense,East Carolina Pirates,3rd String,,,,
LG,Offense,East Carolina Pirates,3rd String,,,,
C,Offense,East Carolina Pirates,3rd String,,,,
RG,Offense,East Carolina Pirates,3rd String,,,,
RT,Offense,East Carolina Pirates,3rd String,,,,
TE,Offense,East Carolina Pirates,3rd String,8,Conner,Jayvontay,RS FR/TR
QB,Offense,East Carolina Pirates,3rd String,2,Jeter,Raheim,RS FR
RB,Offense,East Carolina Pirates,3rd String,30,Bond,Javious,SO
DE,Defense,East Carolina Pirates,3rd String,55,Robinson,Jasiyah,RS JR/TR
NT,Defense,East Carolina Pirates,3rd String,,,,
DT,Defense,East Carolina Pirates,3rd String,93,McKenzie,Jaden,GR/TR
RUSH,Defense,East Carolina Pirates,3rd String,34,Barker,Jackson,RS SO
MLB,Defense,East Carolina Pirates,3rd String,41,Johnson,"Jr.,",DJ RS FR
WLB,Defense,East Carolina Pirates,3rd String,,,,
FCB,Defense,East Carolina Pirates,3rd String,24,Brown,TyMir,RS JR/TR
SS,Defense,East Carolina Pirates,3rd String,,,,
FS,Defense,East Carolina Pirates,3rd String,49,Benton,Josh,RS SO
BCB,Defense,East Carolina Pirates,3rd String,,,,
NB,Defense,East Carolina Pirates,3rd String,,,,
PT,Special Teams,East Carolina Pirates,3rd String,,,,
PK,Special Teams,East Carolina Pirates,3rd String,,,,
KO,Special Teams,East Carolina Pirates,3rd String,,,,
LS,Special Teams,East Carolina Pirates,3rd String,,,,
H,Special Teams,East Carolina Pirates,3rd String,,,,
PR,Special Teams,East Carolina Pirates,3rd String,,,,
KR,Special Teams,East Carolina Pirates,3rd String,,,,
Reserves,Special Teams,East Carolina Pirates,3rd String,,,,
RES,Special Teams,East Carolina Pirates,3rd String,,,,
INJ,Special Teams,East Carolina Pirates,3rd String,,,,
WR-X,Offense,East Carolina Pirates,4th String,,,,
WR-Z,Offense,East Carolina Pirates,4th String,,,,
WR-H,Offense,East Carolina Pirates,4th String,,,,
LT,Offense,East Carolina Pirates,4th String,,,,
LG,Offense,East Carolina Pirates,4th String,,,,
C,Offense,East Carolina Pirates,4th String,,,,
RG,Offense,East Carolina Pirates,4th String,,,,
RT,Offense,East Carolina Pirates,4th String,,,,
TE,Offense,East Carolina Pirates,4th String,6,Riles,Desirrio,SO
QB,Offense,East Carolina Pirates,4th String,12,Harrison,Bryson,RS FR/TR
RB,Offense,East Carolina Pirates,4th String,21,Gunn,"Jr.,",Marlon JR
DE,Defense,East Carolina Pirates,4th String,,,,
NT,Defense,East Carolina Pirates,4th String,,,,
DT,Defense,East Carolina Pirates,4th String,,,,
RUSH,Defense,East Carolina Pirates,4th String,,,,
MLB,Defense,East Carolina Pirates,4th String,,,,
WLB,Defense,East Carolina Pirates,4th String,,,,
FCB,Defense,East Carolina Pirates,4th String,,,,
SS,Defense,East Carolina Pirates,4th String,,,,
FS,Defense,East Carolina Pirates,4th String,,,,
BCB,Defense,East Carolina Pirates,4th String,,,,
NB,Defense,East Carolina Pirates,4th String,,,,
PT,Special Teams,East Carolina Pirates,4th String,,,,
PK,Special Teams,East Carolina Pirates,4th String,,,,
KO,Special Teams,East Carolina Pirates,4th String,,,,
LS,Special Teams,East Carolina Pirates,4th String,,,,
H,Special Teams,East Carolina Pirates,4th String,,,,
PR,Special Teams,East Carolina Pirates,4th String,,,,
KR,Special Teams,East Carolina Pirates,4th String,,,,
Reserves,Special Teams,East Carolina Pirates,4th String,,,,
RES,Special Teams,East Carolina Pirates,4th String,,,,
INJ,Special Teams,East Carolina Pirates,4th String,,,,
WR-X,Offense,East Carolina Pirates,5th String,,,,
WR-Z,Offense,East Carolina Pirates,5th String,,,,
WR-H,Offense,East Carolina Pirates,5th String,,,,
LT,Offense,East Carolina Pirates,5th String,,,,
LG,Offense,East Carolina Pirates,5th String,,,,
C,Offense,East Carolina Pirates,5th String,,,,
RG,Offense,East Carolina Pirates,5th String,,,,
RT,Offense,East Carolina Pirates,5th String,,,,
TE,Offense,East Carolina Pirates,5th String,,,,
QB,Offense,East Carolina Pirates,5th String,,,,
RB,Offense,East Carolina Pirates,5th String,,,,
DE,Defense,East Carolina Pirates,5th String,,,,
NT,Defense,East Carolina Pirates,5th String,,,,
DT,Defense,East Carolina Pirates,5th String,,,,
RUSH,Defense,East Carolina Pirates,5th String,,,,
MLB,Defense,East Carolina Pirates,5th String,,,,
WLB,Defense,East Carolina Pirates,5th String,,,,
FCB,Defense,East Carolina Pirates,5th String,,,,
SS,Defense,East Carolina Pirates,5th String,,,,
FS,Defense,East Carolina Pirates,5th String,,,,
BCB,Defense,East Carolina Pirates,5th String,,,,
